id,author,pubdate,description,sentimen
389,@jefrikusumah1697,4/29/24 10:07,"Kalo pengen cepet kayaraya, kejarlah cita citamu bekerja di beacukai",negatif
390,@ridhobaihaqi144,4/29/24 10:07,Gimana? Enak kan jadi indonesia? Selamat menikmati ya!,negatif
391,@farizalkc23,4/29/24 10:06,Bea cukai memang menjijikan cuihhhh cuih,negatif
392,@sobriyanto1213,4/29/24 10:06,Memalukan,negatif
393,@reogponorogo1517,4/29/24 10:06,Cukimay,negatif
394,@ubfoodstory7329,4/29/24 10:05,MALING SEMUA ðŸ‘ŠðŸ‘ŠðŸ‘Š,negatif
395,@lusiuswarian2698,4/29/24 10:05,"Kagak heran negara wakanda kagak bisa maju, semuanya dikenakan pajak kayak preman ajaðŸ˜‚",negatif
396,@Iris_Diana04,4/29/24 10:05,Pantes negara indonesia ga maju maju,negatif
397,@AchellChell-ot3db,4/29/24 10:04,Biacukai lucu,negatif
398,@titanok5201,4/29/24 10:04,Apapun di pajakin tapi hutang tetap numpuk bahan pokok tetap meroket rakyat ttp miskin,negatif
399,@heriantopurnomo7472,4/29/24 10:04,"Harus di usut Korupsi di bea cukai ,...",negatif
400,@user-xz5zw4tu6q,4/29/24 10:04,Orang pintar sekolah tinggi punya a jabatan ko pada aneh,negatif
401,@innara07,4/29/24 10:04,koplak..tidak tahhu kalau hibah..wkwkwk apa nggak ada konfirmasi sebelumnya....rame baru alasan...,negatif
402,@Bachroedeint,4/29/24 10:04,"Sudah mulai mahal mulai merasa kan dampak nya,lanjut",negatif
403,@evirahmawati8540,4/29/24 10:04,Mengerikan sekali kelakuan bea cukai. Hidupnya dr uang haram. BenerÂ² monster yg menyengsarakan rakyat,negatif
404,@harrydharmawan2744,5/2/24 3:07,Kalau gak makan uang haram gak bisa hidupðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif
405,@bluehikari6945,5/3/24 7:57,Gak hanya itu bre kita bayar mereka lho. Dari kuliah bahkan,negatif
406,@katon6598,5/6/24 16:36,"Bea cukai ga kaya kebangetan,,",negatif
407,@flynnsmt465,5/7/24 8:34,Gw doain orang2 bea cukai mau masuk akhirat kena bea cukai juga,negatif
408,@AchellChell-ot3db,4/29/24 10:04,Biacukai buta hati,negatif
409,@satriyojoko9922,4/29/24 10:03,Otak nya sudah pada tumpul.......Rotasikan pegawainya ke PAPUA,negatif
410,@Rians96,4/29/24 10:03,"Makin hari makin bosen dengernya, ada apa dgn negeri iniðŸ¤”",negatif
411,@billyglen2141,4/29/24 10:03,Bego,negatif
412,@user-rq8wo7xx9k,4/29/24 10:03,"BUBARIN AJA BEA CUKAI, INSTITUSI KOK BOBROK BEGINI....",negatif
413,@YoppyPoppy-zp8pj,4/29/24 10:03,"jika dipersulit sj bisa, knapa hrs di permudahðŸ˜ðŸ˜œðŸ¤ª",negatif
414,@moanteb9175,4/29/24 10:03,"ðŸ˜‚ðŸ˜‚ðŸ˜‚ untung di viralkan, coba jika meneng bae, mungkin barang hibah yg masih prototipe, bisa jadi cuan, mayan buat dana bansos   subsidi lpg  pertalite",negatif
415,@Ahmed_Pramuja,4/29/24 10:03,"Semoga Oknum Bea Cukai yang malak, semua anak dan keturunannya sekolah di SLB, Aaamiin",negatif
416,@waluyoagus6838,4/29/24 12:17,Amin,netral
417,@wangsafficikiwir,5/1/24 23:40,Amin Smoga juga seluruh keturuannya g normal,negatif
418,@tedi-fn3lh,5/7/24 3:26,bukan oknum. mereka sudah MAPIA dan SINDIKCUT,negatif
419,@hidayatulkhikmah5143,4/29/24 10:03,Terlanjur malu atasan yg turun gunung.... Bibit pungli sampai tingkat korupsi dan sejenisnya harus dibantai . Indonesia 2025 semoga jaya,negatif
420,@titanok5201,4/29/24 10:02,Nga pandang bulu apa pun di pajakin demi bayar hutang yg hampir 9000triliun era jokodok,negatif
421,@Yapcinsin,4/29/24 10:02,Semoga pihak Korea tidak tau berita ini bikin malu aja bea cukai disini.,negatif
422,@mazzinibjbj8318,4/29/24 10:02,Peras terus sampai ampas2nya ðŸ˜¡,negatif
423,@robbylianto6756,4/29/24 10:01,Instansi Bea Cukai sdh kumuh dan kotor harus di regenerasi total betantas oknum2 yg sdh berakar tunas didalamnya.,negatif
424,@satriyojoko9922,4/29/24 10:01,Bikin malu Pemerintah.......Pangil MENKEU KE ISTANA,negatif
425,@suhaeriheri4876,4/29/24 10:01,HibahðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚. D pajaki kecuali jual beli,negatif
426,@aditsuwardi6914,4/29/24 10:01,"Jangan banyak alasan , waktu masih di bandara apa-apa dari luar negeri loe semua kenain pajak mau itu piala , alat belajar SLB sampai bingkisan dari kejuaraan pertandingan aja loe kenain pajak gemana jadinya atlet baru pulang dari luar negeri loe kenain pajak termasuk medali juara pun porotin dengan pajak.....jadi apa gunanya bela negara kalau negara sendiri ngak bisa menghargai dan melindungi warganya yang membawa nama negara di event internasional .",negatif
427,@asrizal4857,4/29/24 10:01,"biar bisa jadi abdi di bea cukai, Smanya ambil jurusan apa lur?",negatif
428,@inengahgurnita4726,4/29/24 10:01,ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜…ðŸ˜…,netral
429,@waniboncosfishing212,4/29/24 10:01,"Pecat saja kepala bea cukainya, masak alasan tdk ada info, trs krjamu apa pak?",negatif
430,@mudjirahayu2907,4/29/24 10:01,"Di Indonesia ini mayoritas pejabatx mafia, semua"" serba diperas, dipersulit, spy jd duit. Jd tdk usah heran.ðŸ˜‚",negatif
431,@adambayu1834,4/29/24 10:01,"Seburuk ini kah para pengurus negeri ini.. sedih sih tpi apalah daya ku, fokus kerja ae lah",negatif
432,@wartinisbg6292,4/29/24 10:01,"apa ya HARUS VIRAL DULU TO PAKKKKKK,KOK GAK WEDI DOSA TOOOðŸ¤¦ðŸ¤¦",negatif
433,@piiopii5665,4/29/24 10:00,"Teknologi makin maju,tapi moral, akhlak dan hati nurani makin mundur, miris banget dikonoha ,,semoga bisa mempertanggung jawabkan diakhirat nanti dan peradilan Tuhan",negatif
434,@suardimanmatondang618,4/29/24 10:00,ballik lagi ke jaman no viral no kewarasan,negatif
435,@kusumapachrul983,4/29/24 9:59,15th jadi menkeuðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…,netral
436,@purnamamerindu2782,4/29/24 9:59,Memalukan,negatif
437,@tamuwarnet5232,4/29/24 9:59,halah nggak tau hibah....prettttt.....,negatif
438,@supriyadi-kb8sz,4/29/24 9:59,Ora gumun... Bea cukai SARANG PENYAMUN...,negatif
439,@RBatavia_,4/29/24 9:59,"USUT ORANG-ORANGNYA, JANGAN CUMA AUDIT, HIMBAUAN, TEGURAN DOANG TUH PERAMPOK... KALAU CUMA TEGURAN-TEGURAN DOANG SAMPAI INDONESIA TENGGELAM MEREKA TETEP BEBAS NGERAMPOK.",negatif
440,@user-qi5pm4sy6g,4/29/24 9:59,"Yang pernah dipalak bea cukai sangat benci dan tak percaya khususnya para TKI , aturan semakin memberatkan dan merugikan TKI",negatif
441,@rudyhermawan2296,4/29/24 9:59,"CERITA BEA CUKAI ITU SEPERTI CERITA SI MANIS JEMBATAN ANCOL .. ðŸ˜‚ðŸ˜‚ðŸ˜‚ HARI INI HILANG BESOK TIMBUL, URUSAN CUAN , SUSAH OBATNYA",negatif
442,@adambayu1834,4/29/24 9:59,Terlalu bersemangat nyari duit sampai lupa etika,negatif
443,@djumarnosoekedji89,4/29/24 9:59,"Ngeri negeriku... Dari peristiwa kasus Gayus,sampai sekarang masalah pajak.makin amburadul... Menyakitkan",negatif
444,@ytubeee,4/29/24 9:58,Dibebaskan entar malah kena pasal korupsi lho ðŸ˜…,negatif
445,@MrTongsancong,4/29/24 9:58,Biadab,negatif
446,@user-xy3tm2gq8k,4/29/24 9:58,Pemerintah bagaimana ini apakah semua sdh diperkirakan,negatif
447,@rikardosubay7225,4/29/24 9:58,"Bea cukai kalap supaya dapat uang banyak, padahal alat seperti itu punya manfaat untuk mencerdaskan bangsa yg termarginalkan dan tidak umum digunakan di Indonesia",negatif
448,@Ruthboy195,4/29/24 9:58,Negoror kntol,negatif
449,@bahrudinalhasani2275,4/29/24 9:57,mbel gedes,negatif
450,@sabdoshw4385,4/29/24 9:57,Kebijakan yg TTL.... knapa ada cerita tentang kebodohan manusia di Indonesia...oalahhhh pk Jokowi Jokowi kok bisa-bisanya pejabat mu koyo ngene...opo kurang cairan kah...miris banget...SDH nyumbang kagak.. nunjukin kebodohan pejabat serta pembuat UU,negatif
451,@RBatavia_,4/29/24 9:57,Perampok yang dilegalkan,negatif
452,@b.sudayadi,4/29/24 9:57,"Nggak heran, jika banyak oknum bea cukai hidupnya kaya serta keluarganya hidup hedon..., karena semua aturan adalah uang...ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",negatif
453,@irfanamirul4368,4/29/24 9:56,Pemerintah gmana woii. Banyak bener kasus di bea cukai. Mending stop Bayar pajak klo pemerintah nga bisa di andelin.,negatif
454,@stradiuzwu5022,4/29/24 9:56,"KUONTOL BUAT SRI,YG KORUP 271T GIMANA KABAR??? MASI SENYUM2 AJA TUH PUKIMAK",negatif
455,@robbylianto6756,4/29/24 9:56,Masya Allah ðŸ˜¢ðŸ˜¢ðŸ˜¢ mutasi di Instansi Bea Cukai dan regenerasi ulang PNS Bea Cukai penerapan P4 dan disiplin .,negatif
456,@jongjava2550,4/29/24 9:56,BANGSAD EMANG BEA CUKAI,negatif
457,@user-ip7er4mk3n,4/29/24 9:56,Malu mluin barang hibah kena pajak,negatif
458,@milleniumremix,4/29/24 9:56,Departemen-departemen Biang2nya korupsi selain migas dan pajak,negatif
459,@user-re6gj3mj7c,4/29/24 9:56,"Alasan ga dapat informasi. Cari dong kan kalian digaji untuk itu. Ini akibat kalau bekerja selalu dengan dalih ""memang aturannya begitu""",negatif
460,@ahmadrizqi6334,4/30/24 8:42,Mental ASN pemalas. Maunya disuapin terus,negatif
461,@bedulaja7239,4/29/24 9:55,Inii menteri nya yg ga beress . Yokkk rame2 turun kan menteri nya .,negatif
462,@andrejulianus3299,4/29/24 9:55,"Kelakuan pejabat yg korup, mental korup, yg diotak cmn duit. Duit duit,,, tangkap pelakunya, merusak nama negara... Penjarakan",negatif
463,@julazmi6352,4/29/24 9:55,"Sy juga dpt kiriman lukisan dari belanda untuk institusi kami, ditahan bea cukai, ditlp malah dilempar sana sini. Ya sudahlah nyerah....",negatif
464,@yusufabdullah3579,4/29/24 10:03,Mungkin banyak kasus2 serupa tp tdk diungkapkan......?ðŸ˜‚,negatif
465,@seftiansafaringga5734,4/29/24 9:55,"Ayoooooo, peressss terussss",negatif
466,@aguskarjono7701,4/29/24 9:55,Menang banyak dong,negatif
467,@yusrilzriell2352,4/29/24 9:55,"Bea cukai lagi,, lagi-lagi bea cukai",negatif
468,@jasmaninsani2752,4/29/24 9:54,Jogetin ajah...,netral
469,@user-sf3ci5nt3c,4/29/24 9:54,"Gak beda cukai, pajak sama"" bocor Parah apa gak takut kena penyakit tuh dagingmu (oknum)",negatif
470,@kiswantoprayitno,4/29/24 9:54,Bener bener ya memuakkan,negatif
471,@idrisfuadassofi6938,4/29/24 9:54,"Iya buk ditingkatkan, ditingkatkan biaya pajaknya lawak bea cukai",negatif
472,@sahabatmewarnai7556,4/29/24 9:54,Kaya nya udh ada yg kgk bisa tdr nyenyak niiihh ðŸ˜…,negatif
473,@rizqi1179,4/29/24 9:54,"Harusnya sebelum Sri Mulyani turun gunung, sudah harus diselidiki dulu lebih jauh oleh bea cukai untuk konfirmasi hibah. Ga mungkin sebelum SM turun gunung ga dapat peringatan dari si penerima bahwa itu barang hibah.",negatif
474,@orvillechristian7963,4/29/24 9:54,"keterlaluan sekali,Bu menteri jgn tunggu viral baru bertindak,memalukan",negatif
475,@akal-sehat,4/29/24 9:53,Knp gk ikhlasin aja.mungkin institusi bea cukai lebih membutuhkan alat baca itu..kasih aja.ksian.,negatif
476,@rynnvyxl3341,4/29/24 9:53,Harus viral dulu ya baru diurus? Dari Desember 2022 loh,negatif
477,@loretapoenya9225,4/29/24 9:53,Merampok rakyat dengan cara halus,negatif
478,@lilylistiowati8656,4/29/24 9:53,Hehehe...,netral
479,@sembarangan7091,4/29/24 9:53,gue bilang juga apee.. tutup aja tuh BC sama Pajak. kagak ade gunanya buat negara.,negatif
480,@TheEyeOfHorus69,4/29/24 9:53,Bea Cukai banyak tingkah ya? Serakahnya gada batas.,negatif
481,@leeserretD.mercier,4/29/24 9:52,"Bea cukai sarang korupsi, sarang orang"" busuk",negatif
482,@tacih7459,4/29/24 9:52,Memalukan barang hibah tetap harus pajak mempersulit bukan ya membantu dasar mata duitan,negatif
483,,4/29/24 9:52,"Klo pimpinannya gak ditegur bakal terus bgitu. Ibu Sri Mulyani harus ngasi efek jera, klo gak ya bgitu terus gak ada perubahan",negatif
484,@dharmaBlack-zk7wn,4/29/24 9:52,Bukti pemerintah sama sekali tidak mendukung pendidikan bagi Rakyat Indonesia TERUTAMA ANAK ANAK CACAT... semua serba di bisniskan!!,negatif
485,@lalalulu-ec8zh,4/29/24 9:52,Makan tuuh duit haraaaaammmm...kasihan tuh anak istrimu... Kau kasih barang kotor.. ðŸ˜¢,negatif
486,@dionerawanusman1969,4/29/24 9:51,Oknum2x berseragam petugas Bea Cukai merampok Merampas memeras Penumpang Bandara Soekarno Hatta,negatif
487,@user-jd1hb3vp5j,4/29/24 9:51,Seharusnya jika bea cukai dan pajak Bekerja dengan baik dan sesuai aturan mereka harusnya menginformasikan kepada pihak penerima apa yang harus di lakukan jika benar itu barang Hibah . Agar barang nya tidak tertahan lama . Bu menteri sebaiknya segera evaluasi pejabat tinggi bea cukai dan pajak . Komplain terhadap bea cukai dan pajak wajib di pertimbangkan untuk jadi dasar audit. Mohon pada Bu menteri di akhir masa tugas nya meninggalkan dirjen bea cukai dan dirjen pajak yg bersih dari perilaku korup pejabat dan pegawai nya.,negatif
488,@donquixoteflamingo5607,4/29/24 9:51,"Pecattt, semua yg terkait, pegawai laknay",negatif
489,@lombardioleflash5511,4/29/24 9:51,Ada apa sama bea cukai ini?kok pengen viral trs,negatif
490,@pungkyhendrawijaya,4/29/24 9:51,"Di tahun 2003 pernah mendatangkan buku2 berkaitan keselamatan radiasi utk materi pelatihan dari luar negeri, ditahan sama gudang bea cukai dan ditagih biaya impor plus gudang sebesar 28 juta, di tahun itu uang itu gede banget. Padahal itu barang hibah dari IAEA.",negatif
491,@alfindotrans2204,4/29/24 9:51,Bencana kemanusiaan nih nama nya,negatif
492,@frengkijuliuzzbaroess2339,4/29/24 9:51,"Ini bea cukai cmn mau cari uang suap aja, sudah jdi rahasia umum ""lahan basah""",negatif
493,@user-sh6rj4yb2v,4/29/24 9:51,"""Ngeles aja luh kayak bajaj. Di seruduk KPK nyungsep luh !",negatif
494,@miminriris8955,4/29/24 9:51,Viralkan..,netral
495,@user-dq3vl7fv2e,4/29/24 9:51,Parah bea cukai ga punya hati,negatif
496,@tangtainment,4/29/24 9:51,institusi biadab korupsi harus di audit,negatif
497,@toroorlandachanel6393,4/29/24 9:50,Makanya pegawai Bea cukai KAYA SEMUA.,negatif
498,@alaspurwo8541,4/29/24 9:50,apa bedanya sama perampok,negatif
499,@rizqiciptaanugrah7850,4/29/24 9:50,Harus di usut nih bea cukai lama lama ko makin stres ya,negatif
500,@meooong9686,4/29/24 9:49,Bea cukai perlu di audit TOTAL !,negatif
501,@user-et1kc8nf3p,4/29/24 9:49,KPK seperti nya sampai saat belum pernah sidak Bea cukai,negatif
502,@donoagus2849,4/29/24 9:49,"Wujud uang di kurupsi, wujud alat pajak mahal,,,,,,,?",negatif
503,@toroorlandachanel6393,4/29/24 9:49,"Bea cukai kalau nyita rokok,rokonya dijual sama Pegawainya,Kan dancuk",negatif
504,@mohammadzazeri321,4/29/24 9:49,Siapa itu petugasnya tolong dong,negatif
505,@tangtainment,4/29/24 9:49,Bea cukai sarang koruptor biadab,negatif
506,@freakonme99,4/29/24 9:49,"Bangke 3 tahun alatnya di gudang, jaman dah modern gini. Mestinya menkeu jgn negur doang, itu kan hibah, bikin aturan tegas.",negatif
507,@bejo4066,4/29/24 9:48,Mentri nya makan gaji buta..asal bapak senang..ngurus koruptor pada gak becus,negatif
508,@dianfrenki5907,4/29/24 9:48,Intinya bisa setoran ke atasan .. dan atasan bisa beli rumah mewah dan mobil mewah,negatif
509,@feryatriyanto6119,4/29/24 9:48,gaya necis mental pengemis,negatif
510,@alfindotrans2204,4/29/24 9:48,Emang baru tahu...dah sejak lama kaleee..selalu begitu...,negatif
511,@user-if1xd1je6l,4/29/24 9:48,makanya kita napa percaya orang orAng kaya mereka yang hanya bisa memeras rakyat.,negatif
512,@eq8sz,4/29/24 9:47,Ah BC Rata2 kuper Suka2 nya nentuin harga barang .. Biasa lah hasil ordal,negatif
513,@Doel195,4/29/24 9:47,Rakyat pasti dijajah.,negatif
514,@jimmyjimmy7257,4/29/24 9:47,Klau sdh terjadi baru koordinasi..yah begitulah kita sdh viral baru bertindak..selalu seperti itu kpan bisa maju indonesia,negatif
515,@rakaagungfadilah4398,4/29/24 9:47,"Emang gk salah juga sih. Di infonya pihak penerima bantuan alat belajar slb tidak melaporkan dan melampirkan bukti bahwa itu barang hibah. Kalau misalkan melaporkannya pasti bea dan cukai mengerti, tidak akan memungut pajak masuk",positif
516,@garrixnation4130,4/29/24 9:47,Sikat teruss sampe akar bea cukai. Di gaji dri uang rakyat ttp aja masih ngambil uang rakyat,negatif
517,@laailaahaillalllah,4/29/24 9:47,Segala sesuatu harus viral dulu baru ditangani,negatif
518,@JustMen-ot3vt,4/29/24 9:47,Ini namanya bea cukimak,negatif
519,@qhon1,4/29/24 9:47,Makin lama makin meresahkanðŸ—¿,negatif
520,@kakeksugiono2105,4/29/24 9:47,Orang cukai mah kaya2 padahal kalo gaji GK seberapa.,negatif
521,@KakangWijaya12,4/29/24 9:46,NYENGIR2 MACAM GAK PUNYA MALU NUNGGU VIRAL DULU BARU DKASIIN,negatif
522,@abdul7794,4/29/24 9:46,Bea Busuk inimahðŸ˜¢,negatif
523,@JoshDevdas,4/29/24 9:46,Pak jokowi sikat bea cukai pak ...agar kapok,negatif
524,@syahroniabror8949,4/29/24 9:46,Gp2 peras saja rakyat mu Toh ya manusia2 itu pasti di hisab nanti nya Puas2in sajaaa Lanjutkeen,negatif
525,@gusharyo58official17,4/29/24 9:46,Bea Cukai mmg ngga punya nurani !!!,negatif
526,@blackhole9630,4/29/24 9:46,Ga bisa ngomong lagi... ðŸ¤¦â€â™€ï¸ðŸ¤¦â€â™€ï¸ðŸ¤¦â€â™€ï¸ oknum2 bea cukai JAH*****M,negatif
527,@sadhakarta578,4/29/24 9:46,Pelayanan yg merugikan masyarakat,negatif
528,@InTheMiddleName,4/29/24 9:45,oknum pajak: haaaaahhhhhh... gara2 netijen bawel jadinya kita apes deh gak dapet cuan ðŸ˜­ðŸ˜­,negatif
529,@syafrizalsayafrizal5260,4/29/24 9:45,Disengaja itu.. lama2 bisa milik oknum petugas.. Pasti sdh ada yg raib..bohong klw petugas nga tau status barang,negatif
530,@miftahuljannah4823,4/29/24 9:45,parah parah parah,negatif
531,@sayidwalisongo,4/29/24 9:45,"Beacukai lembaga odgj, ga waras, kaya robot bahlul cr pikirx",negatif
532,@tukangngarongsok2352,4/29/24 9:45,HoreÃ¨eee,netral
533,@user-gz3kq1zi7d,4/29/24 9:44,"Bea cukai kasus Mulu Bu.. nanti 2/3/4 bulan kedepan nanti ada kasus lgi.. trus klarifikasi plus sidak.. trus bulan depan kasus lgi, klarifikasi lgi. Masalahnya kasus nya selalu sama., konsumen di peras..",negatif
534,@wedfert,4/29/24 9:44,yah. terpaksa gk jadi beli RUBICON deh.,negatif
535,@ghieputrakartini8129,4/29/24 9:44,Zholim sekali bea cukai,negatif
536,@andola0153,4/29/24 9:44,"Tak tau malu, nunggu viral dulu coy, dh gitu nyengir"" Pula lagi, mata duitan",negatif
537,@sofiakreteng1077,4/29/24 9:44,Sarang bandit bea SM pajak... Klu ke tangkap cukup minta mf berjamaah.... Klu maling sendal penjaro bosss....,negatif
538,@mafsabil,4/29/24 9:43,Kocak peras rakyat akibat negara banyak utang ðŸ˜‚,negatif
539,@chandradecatro4817,4/29/24 9:43,"Sri mulyani jgn himbau doang, sangsi dan buat revolusi dong, b\'cuk ini sdh terlalu banyak aib nya.",negatif
540,@user-ix1uj9zg5n,4/29/24 9:43,Bea cukai indonesia masih aja brengsekâ€¦,negatif
541,@rizardpatti7603,4/29/24 9:43,Gaji gk cukup ya?,negatif
542,@nyongw227,4/29/24 9:43,Bea cukai harus diperiksa kpk,negatif
543,@qidxx3921,4/29/24 9:42,Apakah sebajingan itu penghuni bea cukai itu...,negatif
544,@barista2526,4/29/24 9:42,Masuk duit dlu makanya,negatif
545,@elvanogavin3774,4/29/24 9:42,Otake kok cuma dwet2 gak thu klau buat anak kebutuhan khusus,negatif
546,@triautomo6885,4/29/24 9:42,Tanpa pandang bulu... yang penting cuan...,negatif
547,@MSupri-kx4lj,4/29/24 9:42,Otak pintar hati mati,negatif
548,@dhimassetyo9065,4/29/24 9:42,Isinya sarang penyamun...,negatif
549,@SolehAlYunus,4/29/24 9:41,Viral dulu baru bebassss... poop lahðŸ¤£,negatif
550,@user-ey9tw3qt1x,4/29/24 9:41,kalo piral baru di kasih kalo gak piral di sita bertahun tahun warga sendiri di persulit.,negatif
551,@barbadostea1390,4/29/24 9:41,"Harus punya iman yang kuat jika kerja di bea-cukai, remunerasi kurang besar",negatif
552,@DasoenWae-qi3vt,4/29/24 9:41,Buah karya para plaku koruptor emang kebangetan ðŸ˜‚,negatif
553,@alifdinch.kuroken9327,4/29/24 9:41,Penjahat kelas kakap aja tertawa ðŸ˜‚,negatif
554,@AP-cs4eq,4/29/24 9:41,"Berpikir positif aja, mungkin ada yang saking sayang sama anaknya jadi pengen ngebeliin rubicon soalnya klo mo beli jet kemahalan",negatif
555,@faqihwijaya5202,4/29/24 9:41,Semoga yg nagih kelak anaknya sekolah di SLB semua aamiin,negatif
556,@springlove8043,4/29/24 10:14,Aamiin,netral
557,@ed7142,4/29/24 12:38,ðŸ˜‚ðŸ˜‚ðŸ˜‚,netral
558,@omanrachman6952,5/2/24 9:21,Aamiin ya Allah...,netral
559,@Gasget,4/29/24 9:41,"Di gruduk baru bunyi,",netral
560,@YogiWantoro,4/29/24 9:40,Pemerintah semakin mencekik rakyat dengan pajak katanya mau mensejahterahkan rakyat,negatif
561,@agenbintoro2410,4/29/24 9:40,BEA CUKAI TEMPAT SARANGNYA PERAMPOK...PEMERAS...PEMALAK.... GARONG....MALING....BANDIT..... BERSERAGAM,negatif
562,@moh.ashari1664,4/29/24 9:39,"Harus di bersih"" Itu pemerintah, mafianya banyak. Tapi kalau berani ðŸ˜‚ðŸ˜‚",negatif
563,@abinamaha3327,4/29/24 9:39,GK malu kah para pegawai bea cukai.,negatif
564,@SARHANBSK,4/29/24 9:39,Busettt karyawan bea cukai pasti kaya2 nich ðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif
565,@yustinutama8947,4/29/24 12:52,ðŸ˜Š,netral
566,@irapur1,4/29/24 9:39,Biasaaaa.... minta fulus tuuh..,negatif
567,@imdoc2568,4/29/24 9:39,Kalo gak gt mana bisa beli robikon... Mana bisa dapat 271 T,negatif
568,@fuadseptian9977,4/29/24 9:39,Harga barang sama pajak lebih mahal pajaknya kocak ðŸ˜‚,negatif
569,@kangsalam920,4/29/24 9:39,Parah semua dipajakin,negatif
570,@efendidr3577,4/29/24 9:39,"Makanya pegawai bea cukai kaya semua,",negatif
571,@yusufocfauzi4354,4/29/24 9:38,Bubarin aja kalo menyusahkan rakyat,negatif
572,@inyomanmaryantamaryanto7503,4/29/24 9:38,Bea cukai isinya parakoruptor.asli,negatif
573,@supryadie157,4/29/24 9:38,Kalo itu sih urusan nya sama Gusti Allah aja.. dan teruntuk oknum semoga mendapatkan Hidayah dan semoga sadar.,negatif
574,@tuturkentoro5536,4/29/24 9:38,"YA ALLAH,SALAH APA MEREKA,COBALAH TOLONG BANTU KEPADA BAPAK-BAPAK BEACUKAI TOLONG PAK,KASIHANI MEREKA PAK,SEMOGA ALLAH MEMPERMUDAH SEGALANYA",negatif
575,@akiherman6674,4/29/24 9:38,Pusing ah,netral
576,@Pa_Rt,4/29/24 9:37,"Koruptor koruptor mana KPK , Bea cukai dipenuhi koruptor,",negatif
577,@andisuryadirevolusioner1421,4/29/24 9:47,"KPK sudah mati mereka sedang main drama lapor laporan,,, pengurus nya tersandung pungli lapas",negatif
578,@arel4333,4/29/24 9:37,2:11 lha koq dia foto2 kaya kesannya itu hibah or hadiah dari bea cukai sih?? Hadeh konohaâ€¦,negatif
579,@kinghandsome1770,4/29/24 9:37,"PEMERINTAH MATANYA BUTA YA? ATAU PEMERINTAH MENYURUH PIHAK BEA CUKAI MEMALAK SUPAYA BANYAK UANG masuk kantong pribadi..??ðŸ˜  pemerintah harus tegas memecat semua pegawai bea cukaiðŸ˜  kalau tdk, masyarakat marah turun tangan. masih banyak muda mudi yg mau kerja kompoten.",negatif
580,@aryawayana,4/29/24 9:36,Bea Cukai paraaah...sudah dari dulu..banyak oknum2 manusia rakus ada disana,negatif
581,@user-wj4sn8ge4j,4/29/24 9:36,Duit siram kurang .....kalau viral minta maaf ngaku khilaf sinetron lama .....,negatif
582,@apridonasurizka6577,4/29/24 9:36,Alasan aja. Ga tau kalo barang hibaah ðŸ˜‚ðŸ˜‚,negatif
583,@imamsubadi3316,4/29/24 9:36,"Ini akibat kebanyakan hutang . Jadi semua di pajakin . Bagaimanan tidak , selama 10th terakhir indonesia terus berhutang . Jadi sekarang berpikir bagaimana cara membayarnya. Jadi semua di pajakin",positif
584,@yathiathy6960,4/29/24 9:41,Nonton penjelasan menteri keuangan di sidang MK kemarin gak bg??? Jelas pemerintah Jokowi udah lakukan penghematan dan bayar utang sebesar 7000T ðŸ‘ Itu luar biasa besarnya bg bukan jumlah kecil ituuðŸ˜Š,negatif
585,@ArioVanish,4/29/24 9:36,Saya curiga bea cukai ini juga punya masalah besar. Ayo kpk selidiki bea cukai,negatif
586,@m_z_s_d_s,4/29/24 9:36,Rakusnya.. untuk SLB pun di embat.. sadis... engak tau maluuu,negatif
587,@adityapratama-mq6tp,4/29/24 9:36,Jahat nya bea cukai.. masak sich ngax kasihan lihat anak2 cacat begitu.. belum pernah kena karma mungkin .. kalau saya sich ngerii ngax berani .. kalau sama anak2 yg sakit atau orang sakit.m takut kena karma,negatif
588,@propagandadunia5582,4/29/24 9:36,Pecat pimpinan bea cukai dan penjarakan,negatif
589,@aleysutopo2448,4/29/24 9:35,"Perlu ditelusuri asal pendapatan gaji para pegawai dan atasannya ,adakah indikasi ...... Korupsi",negatif
590,@careyu5430,4/29/24 9:35,Gk aneh si.,negatif
591,@bayamgas-2108,4/29/24 9:35,Dikasihkan aja buat bea cukai barangnya,negatif
592,@graceandriana2453,4/29/24 9:35,"Ya aneh2 saja kok ada instansi atau orangnya bea cukai Masa ada sumbangan untuk anak2 yang mengalami kekurangan kok di kenakan pajak, bukan dalih antara hibah dan belipun harusnya tidak dikenakan pajak, sudah tidak mau membelikan kok masih buat susah yang sudah susah,,,ðŸ˜‡angeeeeeelllll",negatif
593,@ZKNAMMLBB,4/29/24 9:35,Najis gatau malu! Sama orang berkebutuhan khusus pun diporotin. MIRIS!,negatif
594,@user-cw4xd2is4g,4/29/24 9:35,rampok yg mengatas namakan negara/ BEA CUKAI,negatif
595,@lidatumamah,4/29/24 9:34,Trade fasilitator = preman pasar ?,negatif
